name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,666,4635902464,,,,,,,113.4010844,23.0751653,,,
,667,4635902462,,,,,,,113.401181,23.0755947,,,
,668,4635902470,,,,,,,113.4015135,23.0737564,,,
,669,4635902475,,,,,,,113.4029887,23.0717764,,,
,670,4635902476,,,,,,,113.4035239,23.0732015,,,
,671,4635903101,,,,,,,113.4062242,23.0743996,,,
,672,4635903094,,,,,,,113.4052747,23.074212,,,
,673,4635903102,,,,,,,113.4063423,23.0741528,,,
,674,,,,,,,,113.4117,23.0741941,,,boundary node created by osm2gmns
,675,4635903480,,,,,,,113.4086904,23.0759445,,,
,676,5865581066,,,,,,,113.3853674,23.0508771,,,
,677,4577443904,,,,,,,113.378902,23.0579211,,,
,678,2618133170,,,,,,,113.3799675,23.0587362,,,
,679,4637524867,crossing,,,,,,113.3795195,23.0614704,,,
,680,4665620062,,,,,,,113.3797978,23.0617205,,,
,681,4628739190,,,,,,,113.3899886,23.0714654,,,
,682,4934264955,,,,,,,113.3737594,23.0626023,,,
,683,9195214477,,,,,,,113.4000478,23.0405756,,,
,684,8614237563,,,,,,,113.3984051,23.0390907,,,
,685,4637524871,,,,,,,113.4010414,23.0419797,,,
,686,4668309446,,,,,,,113.4063855,23.0485631,,,
,687,728704267,crossing,,,,,,113.3941203,23.0691033,,,
,688,4668720527,,,,,,,113.3988062,23.065738,,,
,689,2538632368,crossing,,,,,,113.3942726,23.0691673,,,
,690,7865168561,,,,,,,113.383525,23.0726004,,,
,691,4628739233,,,,,,,113.3893154,23.0664954,,,
,692,4628739252,,,,,,,113.3899372,23.0623899,,,
,693,4628738761,,,,,,,113.3890582,23.060086,,,
,694,4580962483,,,,,,,113.3814184,23.0633866,,,
,695,4665620065,,,,,,,113.3804076,23.059198,,,
,696,4665613053,,,,,,,113.3799189,23.0587855,,,
,697,1199440378,,,,,,,113.3860826,23.0493669,,,
,698,2540493362,,,,,,,113.3862336,23.0490741,,,
,699,8280445506,,,,,,,113.3718638,23.0486948,,,
,700,4638056211,,,,,,,113.4014979,23.0664486,,,
,701,4638056221,,,,,,,113.4041408,23.0635147,,,
